"","layer","mean_elev","median_elev","min_elev","max_elev","quant25","quant75"
"1229",NA,54.2972635855764,54.01,37.69,73.33,49.44,59.39
"1230",NA,60.2305088360756,60.02,32.14,95.77,54.34,66.24
"1231",NA,86.0267909765268,88.35,46.36,112.77,77.4,95.81
"1232",NA,91.5645486887579,91.49,73.51,114.12,87.5525,95.6075
"1233",NA,86.0752407557903,85.83,62.97,106.04,82.5875,89.43
"1234",NA,82.8573002642814,83.975,55.72,95.41,80.29,86.93
"1235",NA,85.1197366815779,85.23,58.16,124.66,81.43,90.26
"1236",NA,98.7544726681569,98.51,72.31,132,93.17,103.7375
"1237",NA,120.149583163888,122.585,73.22,161.38,105.055,134.39
"1238",NA,128.750502287748,128.89,103.23,162.73,122.785,134.585
"1239",NA,135.392829402196,139.98,77.66,168.66,124.4975,147.1825
"1240",NA,124.563471276055,131.05,63.7,205.11,100.7,144.82
"1241",NA,82.0847926407806,80.18,51.89,159.82,69.8125,88.08
"1242",NA,80.2745700620739,82.06,52.44,113.74,76.38,87.54
"1243",NA,96.1028431970714,96.05,67.91,136.17,91.54,100.43
"1244",NA,101.847173205936,100.72,69.15,151.88,97.31,104.77
"1245",NA,102.272176344961,99.28,69.96,189.81,95.52,104.38
"1246",NA,91.3669386509309,94.12,49.76,189.8,86.31,99.43
"1247",NA,87.7025902205957,95.12,49.74,110.97,78.68,99.9
"1248",NA,89.8419298423996,96.97,51.26,115,88.16,101.83
"1249",NA,88.6090436463526,98.46,51.86,124.15,60.87,106.05
"1250",NA,88.1078748091603,94.69,55.2,129.43,65.32,107.49
"1251",NA,78.9607281602766,77.92,50.88,112.6,66.05,93
"1252",NA,64.0555013219443,65.98,30.3,96.8,51.76,77.33
"1253",NA,73.4540083443574,91.2,28.24,101.04,52.045,94.22
"1254",NA,52.4914613034623,46,25.37,99.56,31,72.6375
"1255",NA,71.353002034588,80.7,25.75,106.27,51.635,90.1
"1256",NA,82.9162152001626,84.575,32.58,98.95,77.6,90.15
"1257",NA,88.2141788916055,88.84,70.19,100.95,85.325,91.19
"1258",NA,91.7704483391074,90.8,80.54,108.85,87.15,96.55
"1259",NA,92.4416571834993,92.02,68.78,111.5,89.03,95.8
"1260",NA,92.3769654538021,92.5,74.36,110.9,90.07,95
"1261",NA,94.6825043460477,95.78,53.45,116.03,91.685,98.67
"1262",NA,85.2471577229137,85.36,54.43,113.26,77.0125,95.44
"1263",NA,94.6955709624796,101.28,60.51,125.41,79.7475,107.02
"1264",NA,95.1542000814166,98.075,64.63,136.61,79.33,107.3
"1265",NA,138.370237198412,139.26,106.85,158.02,134.33,143.51
"1266",NA,130.919958354495,132.34,93.39,150.36,126.89,136.2
"1267",NA,133.902445259191,138.31,77.65,155.03,131.88,142.01
"1268",NA,147.846142333537,147.74,122.43,173.34,142.85,152.6
"1269",NA,153.687003356729,154.6,133.24,188.93,146.59,160.26
"1270",NA,150.689436762912,150.24,129.25,186.6,145.4575,155.19
"1271",NA,154.938569539119,155.45,128.23,185.15,147.85,161.93
"1272",NA,153.338449012823,155.99,125.47,179.39,145.14,162.0575
"1273",NA,163.010326319,162.51,134,205.66,154.87,171.8
"1274",NA,155.524131584299,152.06,138.6,200.63,144.04,164.5
"1275",NA,147.728273300773,146.43,135.71,188.8,142.6775,151.4225
"1276",NA,159.310790035587,159.32,128.44,203.53,152.65,166.495
"1277",NA,136.542481187716,134.145,117.86,180.47,125.8825,144.49
"1278",NA,126.270150528885,124.92,112.22,167.67,118.9,132.98
"1279",NA,117.435966839589,116.16,106.32,147.01,112.525,119.465
"1280",NA,113.787851550585,113.67,106.05,134.98,110.035,116.66
"1281",NA,110.104738661786,109.48,101.3,131.68,106.69,113.0775
"1282",NA,107.689981705458,106.36,96.28,134.71,101.89,112.63
"1283",NA,102.790559397884,102.35,93.15,128.85,99.67,105.15
"1284",NA,100.271661244408,100.1,91.53,123.44,96.1775,103.8925
"1285",NA,103.32573330623,103.28,92.13,127.29,97.23,107.17
"1286",NA,120.104606627363,120.45,94.95,141.35,115.63,125.26
"1287",NA,119.487918276072,122.495,96.36,150.49,109.44,128.82
"1288",NA,128.716232473075,135.005,95.75,157.68,110.9725,144.0075
"1289",NA,129.535789634146,135.32,97.22,160.73,118.2575,142.5225
"1290",NA,114.751854035373,112.74,98.3,150.42,101.49,125.9775
"1291",NA,105.357097724502,103.85,98.52,132.5,102.4175,105.7
"1292",NA,114.465842137343,113.35,100.75,145.12,105.0475,120.9
"1293",NA,117.850852209243,115.87,101.19,149.39,108.16,124.99
